Gdiam03,Stdiam03,Wall03,Fate03,Gdiam04,Stdiam04,Wall04,Fate04,Fly04
20.7,3,6,f,18.9,3,,e,n
21.7,3.6,7.3,f,23.1,3.7,9.4,f,y
20.5,3.5,7.8,f,19.4,3.9,6.6,b,n
15,5.1,,e,21.8,3,10,f,y
19.5,3.9,7.1,u,23.5,3.5,9.2,f,y
18.1,4.7,7.1,b,22.6,3.5,7.8,f,y
23,4.9,8.6,f,11.6,4.5,4.3,f,y
26.5,4.8,10.5,f,25.2,4.5,9.6,b,n
13.8,3.7,,e,26.5,6.9,11.3,b,n
21.5,4.8,10,u,20.5,5,,e,n
20,3.7,7.5,f,17.8,5,5.9,f,y
17.9,4.3,8.1,b,23.4,3.5,9.1,f,y
21.1,3.9,7.3,f,18.5,3.1,,e,n
16.3,6,7.2,f,21.6,3.1,7.9,f,y
23.2,5.1,8.6,f,21.5,3.5,8.1,f,y
14.5,4.3,7.5,g,22.1,3.4,10.2,f,y
16,4.3,5.8,f,22.1,3.5,6.1,f,y
16.1,3.5,7.2,f,20,3.1,6.4,u,n
18.8,6,10.5,u,22.5,3.5,7.4,f,y
20.1,3.2,7.5,f,18.5,2.8,5.6,b,n
15.7,4,3.9,b,18.6,2.7,5.2,g,n
17.5,4,7.2,u,23.8,3,9,f,y
20.1,4.1,5.6,f,23.6,3.8,7.8,f,y
16.8,4.1,8.2,u,20.1,4.6,6.1,f,y
23.7,4.3,6.8,f,13.7,3.4,3.3,f,y
21.7,5.3,6.5,u,21.6,3.7,7,f,y
23.1,5.5,8.2,f,20.1,2.9,6,f,y
23.1,5.9,8.1,f,22,3.4,8.1,f,y
22.3,3.9,7.5,f,27.3,6.7,9.5,f,y
21,4.3,7.2,u,24.3,4.1,10,f,y
15.9,4.7,,e,23.7,4.2,10,f,y
21.9,5.1,7.5,f,23.2,6.5,8.6,f,y
15.8,3.4,5.1,f,18,4.8,3.8,u,n
22.2,4,8.3,f,18.1,3.7,6.6,u,n
18.4,5.1,,e,22.5,5.4,7.5,b,n
15.6,5.6,5.5,u,23.5,4,10.9,f,y
22.5,4.1,4.5,b,23.6,4.8,8,f,y
12.6,4.1,,e,22.5,4.8,7.8,f,y
20.1,6.5,5.5,u,18.5,3.3,5.9,f,y
21.1,3.8,,f,16.3,3.8,3.6,f,y
18.9,3.9,,e,17.8,3.8,5.8,f,y
17.4,4.4,6,u,23.4,4.4,6.9,f,y
16.9,5.1,6.6,g,22.6,3.9,8.8,f,y
16.2,3.1,6.1,b,20.6,5,9.1,f,y
19.7,3.3,4.5,f,21.6,5,11.1,f,y
19.4,3.6,,e,18.4,2.8,6.2,u,n
18.9,3,5.9,g,15,6,6.7,f,y
23,5.1,6.8,f,24,4,9.1,f,y
21.9,5.21,,e,21.8,3.4,8.5,u,n
23.39,5.4,8.4,f,17.6,2.5,8,u,n
21.25,5.28,6.8,f,18.8,4,6.4,f,y
13.81,2.81,,e,14.5,4.4,6.1,u,n
17.19,2.9,,e,23.1,3.6,10,u,n
22.85,4.82,8.75,f,18.3,3.2,5.9,f,y
21.15,4.8,8.55,f,20,3.7,8,f,y
24.2,3.09,7.25,f,19.5,7.7,9.5,f,y
23.5,3.85,,e,20.4,5.7,8.5,f,y
22.5,4.11,7.26,f,23.9,5.5,10.9,f,y
18.2,2.7,,e,20.4,4,10.1,b,n
10.3,2.2,,e,20.6,3.6,12.1,f,y
22.78,4.5,7,f,20.4,5.4,10.2,f,y
19,4.51,,e,20.3,5.5,10.1,f,y
18.8,4.5,6,f,19.9,5.5,9.6,f,y
22.21,4.49,6.7,f,26.7,6.2,10.3,b,n
23.75,3.4,8,b,21.1,3.7,10.1,u,n
19.31,3.1,6.9,f,22.1,4.5,11.3,f,y
17.9,3.49,5.71,f,22.1,4.6,10.9,f,y
16.2,4.45,,e,21.6,3.8,11.7,f,y
22,3.3,,e,21.1,3.6,11.2,u,n
19.2,2.5,,e,18.6,3.6,10.9,u,n
20,4.15,6.2,f,19.4,4.8,7.6,f,y
19.35,4.6,6.2,g,22.7,3.1,10.5,f,y
23.43,4.75,8.7,f,17.1,4.6,7.8,u,n
26.41,5.1,9,f,21.7,4.6,7.8,u,n
14.55,3.3,2.95,b,20.6,3.5,5.6,f,y
21.29,4.1,,e,24.2,4.2,7.6,b,n
21.55,3.5,7.9,f,18.3,2.9,7.5,f,y
16.7,3.25,7.25,f,24.2,4.6,11.4,o,n
22.56,3.62,,e,19.5,3.5,10.5,o,n
13.2,3.6,,e,21.4,5.6,12.5,o,n
25.1,4.95,8.65,f,19.5,4.1,8.7,f,y
20.4,3,6,f,21.9,4.2,10.5,f,y
16,3.15,,u,21.6,4.2,9.8,f,y
17.7,2.85,5.45,f,19.9,4.4,11,f,y
22.5,2.8,8.15,f,16.6,4.4,8.8,f,y
19.9,6.2,,e,16,4.7,9.4,u,n
18.1,3.8,,e,24,5.1,11.3,f,y
19.3,4,,e,22.8,3.1,10,f,y
17.5,4.3,,e,16.1,4.8,5.2,u,n
21.2,3.6,7.2,f,18.3,6.5,,e,n
17.4,5.3,5.4,b,24.1,5,8.8,f,y
20.7,3.2,6.7,f,26.5,5.5,7.2,f,y
21.5,3,6.3,g,19,3.5,6.5,f,y
22.5,4.9,,e,24.5,5,6.9,f,y
18.6,3.3,,e,24.8,5,7.9,f,y
22.1,3.8,,e,24.4,3.1,7,u,n
20.4,2.9,7.4,f,19.1,2.6,,e,n
20.4,3.4,,e,17.4,4,4.9,u,n
21.2,3.4,7.1,f,19.5,2.5,6.2,f,y
18.7,5.2,6.5,f,23,3,9,f,y
20.2,5,,e,16.1,4.8,5.2,f,y
20.6,4.8,6.3,o,19.7,2.5,5.9,u,n
18.2,3,6.3,f,18.2,1.5,9,f,y
20.5,4.1,7.2,g,22.5,4.2,10.2,f,y
20.5,3.7,6.5,f,16.4,2,6.4,f,y
22.2,3.6,,e,22.1,4.4,,e,n
15.1,4.5,,e,22.6,3.3,10,f,n
20.7,4.5,,e,13.7,4.8,,e,n
18.7,3.2,6,g,20.1,2,9.4,f,y
20.5,4.4,5.2,f,20.9,1.9,9.4,o,n
20.1,2.8,6.1,b,19.7,2.6,8.3,f,y
17.4,2.4,,e,15.3,2.6,6.8,b,n
19.4,3,,e,24.7,3.6,10.8,f,y
20.9,3.6,7.4,b,18.8,6.1,4,u,n
20.6,4,,e,19.8,2.8,,e,n
19.7,3.1,5.5,f,26.2,4,11.1,f,y
12.5,3,4.3,g,21.6,4.4,7.6,f,y
17.5,2.9,5.6,f,20,3.5,,e,n
17.7,2.3,5,g,24.2,3.9,8.4,f,y
17.2,3.2,,u,23.5,5,5.7,f,y
20.2,3.7,6.4,f,24.5,4.5,6,f,y
21.5,4.1,10.1,g,22.3,5.5,3.5,f,y
20.4,3.6,6.6,f,17.1,2.5,4.6,f,y
20.7,3.7,6.9,f,24,3.5,8,f,y
23.9,5,,e,11,3,3.5,g,n
22.9,5.2,11.3,g,19.5,2.4,2.5,f,y
23.1,5.2,8.7,f,16.7,3,,e,n
21.9,4.1,7.8,f,20,3.5,7,f,y
22.9,4.2,7.1,f,23.5,4.5,5.3,f,y
21.6,4.3,7.3,f,20,3.5,7,u,n
22.3,3.1,8.9,g,17.7,2.3,5,u,n
22.3,4,,e,20.3,2.2,4.1,f,y
20.9,5.4,,e,21.5,4.8,6.4,f,y
21.4,3,6.3,f,21.3,3.9,6.4,f,y
17.1,3.2,5.8,b,17.2,3,4,f,y
17.2,3.2,4.1,g,21.8,4.2,3.4,f,y
20.5,5.2,5.7,f,16.9,2.9,,e,n
22,5.7,7.1,f,16.3,3.2,,e,n
21,3.9,5.9,f,17,3,4.2,u,n
24.4,4.5,8.6,f,10.4,2,,e,n
13.2,3,3.1,b,25.2,4.3,8.6,f,y
19.65,5.05,9,g,28.9,3.6,6.5,f,y
23.95,4.05,7.9,f,17,3.6,4.6,f,y
26.45,5.65,9.1,f,16.6,2.6,5,f,y
23,3.1,8.65,f,16,4.4,3.5,u,n
17.45,3.25,7.5,g,18.7,2,6.4,f,y
19.65,3.95,6.35,f,15.2,3.9,5.7,f,y
21.6,4.9,9.5,g,14.5,3.9,3,f,y
14.35,4.45,7,g,20.3,3.9,4.5,f,y
19.6,5.6,6.55,f,23.8,3.6,9,f,y
20.25,3.45,6.65,f,22,3.5,5,f,y
20.55,4.1,8.35,g,21.6,3.5,6.7,f,y
21,3.55,,e,19.6,2.9,5.5,f,y
20.6,4.3,7,g,19.7,4,7.3,b,n
18.55,2.95,6.25,f,16.7,4.8,5,f,y
17.45,3.9,4.6,g,22.8,3.6,7,f,y
16.55,3.7,6.2,g,23,3.2,7.8,f,y
22.4,4.2,9.2,f,23.4,4.1,5.2,f,y
15.2,4.5,3.8,g,11.7,5.8,2.9,u,n
19.5,4.7,8.2,g,21.2,3.7,7.1,f,y
17.1,4.3,7.3,g,25.9,3.7,7.1,f,y
17.6,4.1,1.5,g,20.3,3.6,6,f,y
14.9,4.9,6.4,g,23.2,2,6.9,u,n
18.9,4.7,7.4,g,18.2,6.4,,e,n
16.7,3.6,7.5,g,19.7,4,,e,n
18.8,4,2.2,g,18.2,3.4,,e,n
17.8,3,8.6,g,20.5,3.6,6.3,f,y
16.2,3.8,6.5,g,22.8,3.7,4.8,f,y
26.1,9.6,8.7,f,13.5,5,3.9,g,n
19.93,7.7,6.5,f,21,2.7,5.8,f,y
21.05,7.8,6.6,f,23.3,4.1,6.9,f,y
26.55,8.5,10.1,f,17.7,2.7,6,f,y
20.6,5.7,6.7,f,25.2,4.8,8.1,f,y
17.7,3.6,6.3,g,24.5,4,6.5,f,y
23.3,8.5,8.5,f,17.1,4.6,,e,n
22.9,5.7,6.5,f,16.4,3,4.2,f,y
23.2,8,7.7,f,18.1,4.7,5.9,u,n
17.2,4.6,7.5,b,21.5,3.6,5.8,f,y
23.6,4.5,7.3,f,22.7,3.9,4.2,u,n
20.5,3.2,5.7,b,22.1,3.5,6.1,f,y
21.4,3.6,6.2,f,21.8,3.6,6.3,f,y
21.7,2.8,7.1,f,21.9,4.4,6.8,f,y
21.4,4.4,7.3,f,20.6,4.7,6.3,f,y
18.7,3.8,6.3,b,24.5,5.9,5.4,u,n
19.3,4.8,6.3,f,23.9,4.7,7.2,f,y
16.2,5.3,4,g,23.9,5,7.4,f,y
20.4,3.4,5.8,f,19.9,3.4,8.2,u,n
16.7,4.1,3.9,g,22.1,3.4,5.5,f,y
21.3,4,,e,20.6,3.7,6,f,y
19,3.5,5.6,g,18.5,4.7,6,f,y
23.2,4,8.5,f,18.4,4.4,,u,n
17.2,3.6,7.1,g,22.2,4.5,6.3,f,y
18.6,4.3,6.6,g,14.9,3.4,2.9,u,n
23.2,3.6,8.7,f,23.5,4.7,3.9,f,y
17.7,3.7,,e,11.8,4,3.5,b,n
17.8,3.4,6.5,g,14.1,4.3,,e,n
22,3.8,7.2,g,18.6,3.5,3.7,f,y
20.2,4.1,7.8,b,22.9,5.1,6.5,f,y
14.9,4.1,,u,17.3,5.6,3.5,f,y
12.6,4.1,,e,22.3,5,5.9,f,y
11.1,4.1,,e,19.9,5,,e,n
15.9,4.3,,e,20.2,3,,e,n
18.5,4.2,7.8,g,20.1,4.3,5.9,f,y
18.5,4.2,8.2,g,22.2,5.6,6.8,f,y
16.9,3.7,5.4,g,20.1,2.8,4.1,u,n
21.9,3.5,,e,20.9,4.2,,e,n
16.1,3.7,7.4,g,22,3.7,6.6,f,y
21.9,3.6,9.5,f,20.9,3.5,6.9,f,y
25.8,6,9.1,f,22.6,3.6,6.6,f,y
19.5,3.8,6.4,f,21.6,4.2,6.8,f,y
17.1,3.8,,e,17.1,4,4.3,o,n
20.6,3.5,9.6,g,20.2,3.4,6.2,g,n
22.3,2.8,8.1,f,21.9,3,7.4,f,y
23.7,3,8.1,f,21.4,3.8,7.3,f,y
20.7,3.9,11.4,f,20.5,7,7.1,f,y
22.8,3.6,6.5,g,19.4,2.6,7.2,f,y
23.2,5.2,8.3,f,21.6,3.1,7.9,u,n
21.4,5,8,f,22.5,3,6.2,f,y
20.3,2.9,7.3,f,22.6,5,6.3,f,y
20.1,3.7,7.6,f,21.5,3.6,6.2,f,y
26.5,4.2,11.3,f,23.5,3.6,7.2,f,y
18.8,4,8.5,g,23.4,3.5,7.3,f,y
15.4,2.5,5.6,g,23.6,3.7,8.3,f,y
17.5,4.2,5.6,f,22.5,3.3,6.1,f,y
18.1,4,,e,24,3.9,7.9,f,y
17.2,2.5,,e,22.6,4.6,6,b,n
20.2,2.9,4.5,b,22.5,4,7.9,f,y
24,3.7,7.8,f,19.2,3.5,6.5,f,y
21.8,4.9,,e,23.4,3.5,8.1,f,y
18.6,5.9,,e,24.3,5.5,6.8,f,y
19.1,5.4,,e,21.7,3.5,6.2,f,y
22.4,4.1,,e,21.9,4.3,6.4,f,y
19.2,3.9,3.6,g,20.2,4.5,,e,n
19.8,4.2,5.4,b,27.9,5.9,8.1,f,y
18.6,3.3,,e,23.1,4.1,8.1,f,y
17.6,5.4,,e,22,3.9,6.5,f,y
20.4,4.6,,e,21.9,4.1,3.5,f,y
21.6,4.4,5.7,f,18.5,4,5.1,u,n
21.2,4,7.6,f,21.7,3.4,3.1,f,y
18,3.9,,u,21.9,3.1,3.6,f,y
21.1,3.8,7.3,f,16.6,4,4.8,f,y
17.4,3.1,5.1,f,17.3,4,4.8,f,y
15.2,2.1,5,b,22.7,4.7,6.2,f,y
17.1,2.5,,e,24.5,4.9,9.1,f,y
16.1,6,,e,22,4.5,7,f,y
18.6,3.2,3.4,f,25.6,5,8,f,y
16.6,4.1,,e,23,4.5,7.4,f,y
17.1,2.9,4.1,b,20,4.4,6.2,f,y
15.8,3.2,,g,22.4,4.6,7.9,f,y
18.8,3.9,,e,20.3,4.2,5,f,y
20,2.8,5.9,f,19.8,4.6,5.4,f,y
18.1,2.5,7.4,g,19.8,4.9,,e,n
23.5,4.9,7.6,f,21.4,4.2,6.5,f,y
20.1,4.1,,e,24,5.2,5,f,y
18.4,4.5,,e,14.2,5.2,4.2,u,n
23.5,7.6,,e,18.5,3.6,6,f,y
22.3,4.9,6.2,f,17.5,3.7,,e,n
22.3,3.5,5.5,g,23.1,3.1,8.2,f,y
22.3,3.5,7.7,f,22.1,4.4,6.6,f,y
20.1,4.1,5.6,f,16.6,4.8,3.4,f,y
19.4,5,,e,22.1,2.8,6.3,f,y
23,3.1,6.3,f,21.5,3.4,7,f,y
21.6,3.8,6.6,f,24.3,3.9,7.8,f,y
22.7,4.8,7.4,f,19.9,2.8,4.4,f,y
22.3,4.9,6.2,f,25.2,3.3,7.9,f,y
16.1,3.1,5.4,f,19.8,3.7,7.7,f,y
20.3,2.8,6.2,f,20.5,3.4,5.5,u,n
21.4,2.7,7,f,21.4,3.3,5.8,f,y
12,4.6,,e,21.7,4.3,6.5,u,n
14.4,3.2,,e,21.6,5.7,5.9,f,y
19.1,2.2,6.3,f,16.4,2.5,6.2,f,y
18.6,3.6,5.9,g,24.2,3.4,8.1,f,y
18.7,3,,e,17.5,2.9,4.6,b,n
15.8,2.9,,e,19.5,4.9,5.2,f,y
15.7,4.4,,e,21.8,5.2,6.2,u,n
20.3,4.4,6.9,f,21,3.4,5.1,u,n
18,4.4,6.2,g,17.7,2.4,5,f,y
13.7,4.4,,e,27,4.2,9.6,f,y
21.9,3.9,7.7,f,12.1,2.7,4.2,u,n
20.8,4.9,5.7,f,23.9,5.1,7.8,u,n
25.3,3.8,8.6,f,21.9,3.5,5.7,f,y
22.9,3.1,7,f,22,2.9,7.3,f,y
16.7,2.2,,e,21.2,3.2,7.8,f,y
16.2,3.9,5.2,f,18.8,2.7,5.4,b,n
21.2,4.2,7.3,f,22.1,3.8,6.7,f,y
16.6,3.4,,e,22.9,4.4,8.7,f,y
21.6,4.7,6.8,f,20,3.5,5.7,f,y
22.9,3.5,6.7,f,19.8,4.4,,e,n
13.7,3.3,3,g,21.7,5.3,8.2,f,y
21.5,5,8.5,b,15.8,3.4,,e,n
14.2,2.8,,e,19.6,3,6.5,f,y
20.6,4.6,5.8,f,10.5,2.8,,e,n
15.8,3.3,5.1,g,19,3.9,,e,n
24.4,4.6,,e,18,3.6,,e,n
18,4,6,g,21.7,3.6,,e,n
23,4,8,f,22.8,3.5,7.8,f,y
12.4,3,6.5,f,17.3,2.8,5.9,f,y
19,4.3,4.3,f,23.7,3.2,7.2,f,y
18.9,4.8,5.4,f,22,3.5,7.9,f,y
16.9,3.7,4.1,b,26.7,3.5,,e,n
21.1,5.6,5.1,f,19,3.9,,e,n
28,4.4,10.5,f,23,3.4,8.2,f,y
19,4.3,6.6,f,21.9,2.8,6.2,f,y
18.4,3.8,6.3,f,24.5,3.8,7.8,f,y
21.8,3.6,8,f,19.7,4.3,5.9,f,y
24.2,4.2,8.6,f,21.8,3.6,7.5,u,n
18.3,2.9,5,g,22.2,4.4,6.1,u,n
19.6,2.9,,e,16.2,2.9,5.2,g,n
20.3,4.6,4.7,g,23.8,4.4,8.8,f,y
18.6,3.2,,e,16.4,3.6,4.4,f,y
15.2,3.6,,e,25.5,3.4,9,f,y
19.1,3,5.5,f,25.9,4.4,9.8,f,y
17.1,3.6,,e,14.4,3.1,,e,n
21.4,4.2,6.4,f,26.6,3.8,7.5,f,y
11.7,3.5,,e,14.6,2.8,5.2,f,y
21,3.7,7.9,f,19.8,3.1,7.1,f,y
26,4.7,9.4,f,20.5,4.1,6.3,f,y
18.2,2.5,6.9,f,22,2.8,6.9,f,y
