Gdiam03,Stdiam03,Wall03,Fate03,Gdiam04,Stdiam04,Wall04,Fate04,Fly04
19.2,2.2,6.8,f,13.1,3.4,,e,n
25.1,4.9,7.1,f,16.9,2.8,5.5,b,n
22,3.5,7.5,g,17.4,3.5,4.5,g,n
19.6,3.9,5.1,f,24.6,3.4,,u,n
17.9,4.5,7.5,b,17.9,3.4,6,f,y
18.4,3.2,5.2,f,20.9,2.5,7.1,f,y
17.6,2.8,,e,23.3,4.6,8.9,f,y
19.4,3.1,6,f,24.3,4.1,10.8,f,y
17.1,3.3,,e,17.9,2.9,5,f,y
19.7,2.9,4.9,f,17.6,2.6,5.4,b,n
17.1,4,,e,17.9,5.5,6,b,n
23.2,4,7.6,f,18,2.1,6.4,f,y
20.4,4.4,5.1,f,21.4,3.3,2.6,f,y
17.3,2.8,,e,22.5,2.8,8.2,o,n
12.45,3.3,,e,18.5,3.4,5.1,f,y
19.1,3.2,,e,20.3,3.1,6.2,u,n
17,5.1,5.1,g,23.2,5.2,8.1,f,y
24.3,4.2,8.2,f,17,2.7,4.9,g,n
16.4,4.4,3.5,f,21.7,4.8,7.4,u,n
21,4.9,,e,23,4.1,7.3,f,n
19.9,3.4,7.2,b,21.5,3.9,,e,n
14.6,4.3,5,g,18.1,3.7,5.3,f,y
16.55,4,,e,19.4,3.7,,e,n
15.2,3.4,,e,25,3.8,11,f,y
23.2,4.7,9.3,u,16.1,4.5,,e,n
17.8,2.2,5.5,g,17.8,5.4,,e,n
16.9,2.9,,e,21.1,4.7,4.4,f,y
15.5,3,4.6,g,25.3,4.5,,e,n
14,2.2,,e,23.2,4.4,11.5,f,y
18.5,3,5.5,f,23.4,4,8,f,y
16,3.8,5.5,g,17.5,2.5,6.4,u,n
19.2,2.9,6,f,16.7,5.2,,e,n
19.3,3,6.3,g,21.5,5.6,7.8,f,y
21.6,3,,e,23.1,3.4,5.3,f,y
18.5,3,6.8,g,20.4,3.3,5.5,o,n
16.8,2.5,5.1,f,21.9,3.4,6.6,f,y
20,2.6,5.5,f,19.7,2.8,3.9,u,n
20.5,3.5,6.9,f,21.4,4.1,4.9,f,y
18.8,4,5.5,f,16.9,4.4,3.7,u,n
21.2,4.7,7.9,f,16.9,4.4,3.7,u,n
26.4,4.5,9.2,f,21.8,6.5,8.2,f,y
25.6,4.3,7.9,f,21.6,3.5,6,f,y
21,2.9,6.4,f,26,5.8,5.9,f,y
17.8,4.1,6.8,g,23.3,4.2,6.6,b,n
19.9,3.8,7.3,f,21.8,3.3,6.1,f,y
25.7,4.8,7,f,20.5,3,2.7,u,n
23.7,3.3,8.4,f,14.3,3.3,5.4,u,n
23.9,3.8,6.9,f,21,4,9.4,f,y
14.8,2.7,3.1,f,25.4,5,8.6,f,y
20,2.9,5,f,23.5,4.4,7.9,f,y
15.4,3.4,4.9,b,17.9,3.3,3.5,u,n
20.9,3.3,4.8,b,18.2,3.4,5.8,f,y
15.6,2.2,5.5,g,19.8,3.4,4.7,f,y
21.2,2.9,5.2,f,24,4.9,8.4,f,y
11.9,3.9,3.5,g,19.5,5.8,7.2,g,n
18.8,3.3,3.6,g,21.9,2.9,5.5,f,y
17.7,3.3,2.1,f,23.5,5.2,5.9,f,y
23.2,4.6,5.5,f,18.3,3.8,3.9,u,n
15.1,3.6,3.3,g,20.6,4.6,,e,n
21.8,4.8,4,f,15.3,3.4,4,g,n
17.7,4.7,3.1,g,26.1,5.3,9.8,f,y
23.5,3.9,3.9,f,20.1,2.9,6.6,f,y
14.9,4,2.8,b,18.7,2.9,5.4,u,n
19.7,3.9,6.5,g,16.9,4.2,5.6,u,n
16.4,3.1,2.6,g,23.1,4.6,8.4,f,y
13.5,3,3.4,g,23.2,3.8,7.3,g,n
19.3,5.1,3.8,g,24.4,5.2,8.5,f,y
19.8,2.8,3.4,f,22.4,3.3,7.1,f,y
21.1,5.1,7,f,22,2.8,3.2,f,y
20.5,3.5,4.2,g,20.9,2.7,5.7,f,y
18.8,4.7,5.1,f,20.2,3.6,5.9,b,n
22.2,2.4,4.6,g,22.1,3.5,7.4,f,y
24.2,4.3,8.6,f,16.6,5.5,2,u,n
20.6,1.8,3.8,g,18.6,2.3,4.4,u,n
23,2.1,6.6,g,23.4,2.8,8.4,b,n
13.9,3.2,2.9,g,19.2,3.1,5.9,f,y
16.3,2.9,3.2,f,20.4,3.6,6.3,f,y
13.2,2.7,2.2,g,20.3,2.9,8,f,y
17.4,3.3,4.9,f,21.4,2.8,6.6,f,y
22.9,2.3,7.2,f,20.3,4.3,6.8,f,y
17.1,1.3,3.4,b,23.2,3.9,7.4,f,y
22.2,2.9,9.4,f,17.8,3.6,4.1,g,n
19.5,3,4.9,f,14.9,2.8,2.5,u,n
12.1,2.7,1.8,g,20.1,3.5,7.7,f,y
18.6,2.5,4.1,g,22.2,4.6,6.4,f,n
14.1,3.1,2.6,g,22.4,4.8,7.7,f,y
12.2,1.1,,g,27.7,4.4,10,f,y
24.3,4.4,5.5,f,20.7,3.7,5.6,u,n
22,2.8,7.4,b,24.5,6.6,6.7,f,y
22.1,2.9,4.4,g,24.9,3.7,7.4,f,y
15.2,2.5,2.6,b,22.2,4.4,3.9,f,y
17.5,2.7,3.7,b,21.4,3.1,7,f,y
9.5,3.1,,g,19.9,3.3,5.3,u,n
23.5,4,6.9,u,21.5,3.6,7.5,f,y
22.1,3.9,6.8,f,19.2,3.1,7.3,f,y
23.3,2.1,5.6,f,24.3,4.2,0.8,u,n
15.1,2.2,5.1,g,15.8,4.1,5.2,u,n
18.4,5,4,b,20.1,2.8,5.5,f,y
22.4,3,5.4,f,23.4,3.2,,e,n
24.5,3,9,f,25.8,3.2,7.1,f,y
15.6,2.6,2.7,g,24.3,3,7.5,f,y
24.1,2.6,5.1,f,20.4,4,5.6,o,n
19.2,4.4,,e,20,4.5,,e,n
18.6,3.4,6,u,21,4.1,7.5,f,y
20.5,3.2,5,f,18.3,3.8,4.4,f,y
21.4,3.2,6.8,f,22.5,5.5,8.8,f,y
17.5,2.6,4,g,20.3,5,5.8,f,y
17.6,3.9,4.4,f,23.5,4.4,8.8,f,y
21.6,2.5,6.4,f,24.5,5.4,7.7,f,y
17.9,2.1,5.8,g,23.4,3.6,0.4,f,y
17.2,1.7,,e,12.2,4.2,3.5,u,n
15.8,3.9,3.1,u,16.5,3.1,,e,n
19,3.5,5.7,f,19.8,4.6,4.5,f,y
20,2.7,5,u,23.7,4.6,8,f,y
26.1,4.2,10.2,f,20.5,3,5.7,f,y
19.9,4.7,5.7,b,23.3,8.6,8.9,f,y
17.9,2.9,5.8,f,15.9,4.8,3.7,f,y
15.9,3.1,3.5,f,22.8,3.7,8.7,f,y
23.3,2.9,8.4,f,20,2.7,6,f,y
17.3,3.3,,e,19.3,4.4,,e,n
20.4,4.6,7.4,f,20,4.9,6.8,f,y
9.5,2.9,,e,21.9,3.8,6.1,f,y
21,3,6.4,f,25.5,4.5,7.8,f,y
21.1,3.5,6.9,g,20.9,4.1,6,f,y
17.2,3,6.4,g,21.5,3.1,5.4,f,y
19.4,4.3,,e,18.5,3.5,,e,n
23.7,2.8,7.7,f,19,3.1,,e,n
20.9,2.8,6.1,f,23.9,3.9,7.5,f,y
16.2,2,,e,19.5,5.1,6.2,f,y
20.1,4.2,6.4,g,19.5,5.1,5.8,f,y
18.3,2.7,6.3,g,16.1,2.1,3.6,u,n
20.5,3.2,4.8,f,17.1,3.7,,e,n
16.5,2,,e,15.9,3.4,3.9,g,n
21.9,1.8,7.1,f,14.7,3.2,4.1,f,y
21.5,2.9,4.5,f,22.6,3.9,6.5,f,y
19,3.1,2.1,g,16.2,6.1,5.9,u,n
20.5,3.4,4,f,20,3.8,6.1,f,y
20.3,3.1,4,f,18.6,3,5.9,f,y
19.9,2.9,3.5,f,16.2,2.8,2.8,u,n
12.3,2.9,3.2,g,24.1,4.2,8.6,f,y
18.8,4.2,,e,18.5,4.2,6.3,u,n
21.3,3.9,5.2,g,20.7,4.4,7.3,u,n
17.7,2.7,3.9,g,23.2,3.5,7.1,f,y
21.9,3.9,4,f,20.6,3.5,4.3,b,n
19.3,3.7,3.9,f,22.3,3,6.6,u,n
15.9,3.2,3.3,g,27.2,3.2,7.6,f,y
18.1,3.1,4.3,g,16.1,4.9,5.8,u,n
19.5,4.3,,e,14.7,2.5,3.1,g,n
21.8,3.5,4.2,f,18.9,4.7,5.2,f,y
17.8,1.7,4.6,g,24.3,3.3,7.8,f,y
17.85,3.3,1.5,g,21.6,3.2,6.1,f,y
9.95,3.7,0.75,g,19.1,3.3,5,f,y
20.35,3.4,5,f,24.2,3.5,8.2,f,y
18.4,3.1,3.45,g,19.5,3.3,5.7,f,y
17.4,3.6,2.5,g,22,5.2,5.7,f,y
19.2,4.3,2.8,f,22.4,5.5,7,f,y
15,3.5,2.7,g,22.7,2.3,6.4,f,y
15.8,4.5,1.7,g,19.3,3.4,,e,n
16.5,2.6,3.5,g,21,3.7,7,f,y
19.8,3.3,3.3,f,17.4,2.9,6.6,u,n
18.3,3.95,3.4,g,20.3,3.6,,e,n
10.5,4.2,1.1,g,21.4,3.5,6.4,o,n
21.4,3.15,2.5,f,22.9,4.5,5.9,f,y
19.8,3,1.5,f,22,4.5,8.9,f,y
22.1,4.4,3.8,g,18.1,4.9,6,b,n
17.25,3.4,2.9,g,21,4.8,,e,n
20.5,3.9,3.4,f,15,3.6,,e,n
18.1,4,,e,20.2,3.7,6.5,f,y
13.6,3.9,4.1,f,24.5,3.4,7,f,y
20.7,4.4,3.2,g,13.3,4,,e,n
9.2,4.1,,e,15.8,3.7,,e,n
15.1,4.5,2.8,f,20,3.4,7,f,y
17.6,1.8,1.9,g,18.7,5,,e,n
13.4,3.6,1,b,21.5,4,,e,n
17.8,5,2.7,g,15.9,3.9,,e,n
10.7,3.1,,e,19.7,3.9,5.8,f,y
23.9,4.2,5.1,g,20.8,4.6,7.8,f,y
17,4.2,,e,14.1,3.8,,e,n
20.7,3.6,2.7,f,17.1,3.6,4.9,g,n
15.5,3.8,2.6,f,20.2,4.2,5.5,g,n
15,3.6,2.1,g,22.7,4.5,7.9,f,y
21.1,3.6,4,f,13.9,3.2,4.1,b,n
21.7,3,5,f,18.8,4.4,7,f,y
20.2,3.2,5.6,f,18.8,4.3,6.8,f,y
19.2,3.2,4.5,g,21.3,4.4,7.4,o,n
20.9,3.1,4,g,17.5,4.3,6,g,n
21.1,4,6,f,22.1,5.7,7.3,f,y
23,3.7,6.8,g,18.7,4,5.1,f,y
23.5,4.6,6.8,f,15.5,3.1,6.5,f,y
18.9,4.1,5.8,f,15.4,3.9,4.8,u,n
21.4,4.5,8.2,f,23.7,4.4,7.2,f,y
20.3,3.4,3.2,f,20.1,3.9,5,f,y
17.4,5,4.9,g,24.3,3.4,6.1,u,n
21,3.9,6.3,f,22.1,3,6.2,u,n
16.5,4,3.5,u,20.8,2.9,6.4,f,y
16.6,3.3,2,g,20.1,2.9,7.2,f,y
23.5,4.2,5.4,b,20.4,2.2,6.1,f,y
22.8,5.4,6.6,f,18.1,3.1,5.5,u,n
20.8,3.3,6.8,f,18,3.6,6.3,u,n
10.4,3.6,5.7,f,17.2,2.6,5.6,f,y
23.8,5.2,8.1,f,14.6,2.5,4.3,b,n
15.2,5.9,3.8,o,12.9,3.1,2.6,u,n
22.5,4,6.9,f,18.1,3.6,6.1,f,y
23,4.7,8.5,f,15.3,4.3,4.8,f,y
20.5,5,7.8,f,17.5,5,5.7,u,n
22.4,6.1,8,f,16.5,5.9,5,f,y
24,5.3,9.3,f,22.1,4.6,6.7,f,y
21.2,3.4,,e,16.7,2.5,5.1,f,y
19,4.2,6.2,f,22.3,3,7,f,y
20.3,5.4,7.2,f,17.7,2.4,,e,n
13.5,3.7,4.6,u,23.3,4.6,7,f,y
19,4.4,5.5,f,23.4,4.9,6.3,f,y
20.1,4.4,6.4,f,22.5,5.4,6.4,f,y
17.4,3.2,,e,13,3.6,3.2,u,n
15.4,3,4.4,f,26.2,5.5,,e,n
13.2,3.4,,e,23,3.2,6.9,f,y
12.6,4,,e,24.3,3.9,8.2,f,y
18.4,3,,e,22.7,3.3,6.2,f,y
18.4,5.2,6.9,f,24.7,4.6,7.8,f,y
19.2,3.7,7.4,b,18.1,1.8,3.3,u,n
16.9,4.7,3.7,f,15.5,2.7,,e,n
20,3.5,,e,18.2,5.8,5.9,f,y
15.4,4.3,5.3,u,17.9,2.7,4.4,u,n
21.7,4.5,8.1,f,22.6,3.4,6.7,f,y
20.7,3.4,,e,20.1,3.1,5.1,f,y
23.3,3.3,9,g,25.1,3.1,8.8,f,y
18,3.6,9.7,f,20.2,2.8,6.2,f,y
21,3.4,5.5,b,24.1,3.6,6.1,f,y
17.8,4.3,,e,16.4,2.7,4.6,u,n
23.5,4.4,8.9,f,20.4,2.5,6.3,f,y
23.8,3.9,4.8,f,20.4,2.1,4.8,f,y
18.9,3.4,6.3,f,14.2,3.3,3.2,g,n
20,3.3,6.7,f,27.2,4,6.1,f,y
23,3.5,9.2,b,24.9,3.9,6.3,u,n
20.9,3.5,5.9,b,21.7,3.1,5.8,f,y
20.3,4.5,7.4,f,23.6,3.3,4.7,f,y
19.8,3.2,7.1,f,24.4,3.4,4.5,f,y
16.5,3,5.3,f,24.8,3.6,6.4,f,y
18.2,2.1,6,g,20.2,3.4,4.3,u,n
20,3,7.5,f,19,3.3,3.7,f,y
17.7,2.6,,u,23.2,3.5,4.5,f,y
17.7,2.8,6,f,21.4,3.5,3.9,u,n
16.8,3.1,4.5,g,25.5,4,6.7,b,n
22,4.6,6.6,g,25.6,3,8.5,f,y
18.6,3.8,7.8,g,26,3.2,3.9,f,y
23.9,4.5,11.5,u,23.7,3,4.5,f,y
12.5,4.1,4.2,g,23.7,3.5,6.3,f,y
20.29,4.3,,f,22.2,3.4,6.1,b,n
18.5,3.9,,e,19.8,2.5,6,f,y
20,2.4,7,u,23,2.5,7,f,y
18.8,4.8,6.1,f,15.7,2.8,,f,y
16.5,3.3,4.7,f,21.5,2.7,5.9,f,y
23.1,3.7,,e,21.5,3.6,5.8,u,n
16.7,3.2,5,g,23.6,4.1,8.8,b,n
21,3.3,8.8,b,23.2,4.4,6.5,f,y
20.8,3.8,6.7,f,20.2,3,6.9,f,y
23.2,8,4.1,f,17.4,2.1,5.1,g,n
19.3,2.95,5.25,f,18.1,2.9,5.4,f,y
21.85,3.85,,e,22.5,2.9,7.5,f,y
16.8,3.1,6,o,18.7,3.7,6.5,f,y
17.75,3.35,5.2,g,13.5,2,,f,y
21.9,3.8,7.22,f,24.8,2.9,6.6,f,y
12.8,4.2,3,b,23.7,4.5,5.7,f,y
22.25,3.7,8.35,f,22.6,4.3,,u,n
16.95,6.6,7,f,23.1,4.3,6.3,f,y
18.7,3.4,,e,24.1,4.1,5.8,f,y
16.9,4.9,,e,22.2,4,7,u,n
20.5,4.3,,e,20.7,4,4.5,f,y
22,3.5,,e,22.5,4.5,7,f,y
20.2,3.1,6.2,f,25.3,4.8,8.1,b,y
19.1,5.2,7.1,f,24.6,4.8,5.8,u,n
26,5,9,f,22.8,4.4,6,f,y
17.5,2.5,7.3,o,20.3,3.6,5.9,b,n
17.5,2.9,5.7,f,24,5.5,,e,n
20.1,3.1,6.8,g,21.4,7,7.9,f,y
15,3.8,,u,19.3,3.2,6.8,b,n
21.1,3.4,,e,20.1,3.6,8.3,g,n
15.1,2.3,4.5,o,20,4.7,7.6,f,y
21.8,3.6,7.2,f,18.8,4.7,5.9,f,y
19.8,3.6,6.3,f,17.6,3.7,4.6,f,y
20.2,3.2,7.8,f,20.4,2.9,7.1,f,y
20.9,3.8,,e,19.7,3.4,10.4,f,y
22.8,3.9,10.4,g,23.1,4.1,7.8,u,n
24,4.5,9.3,f,17,3.4,,e,n
9.1,3,,e,23.8,4,11,f,y
21.6,2.8,8.2,f,19.9,2.9,9.4,f,y
22.3,3.6,9.2,f,20.1,3.9,10.2,b,n
19.1,4.8,,e,21.1,3.9,8.7,f,y
18.4,3.4,7.5,f,24.7,2.9,7.6,b,n
23.3,4.9,8.9,f,23.3,3,8.3,f,y
21.3,3.6,,e,20.8,2.5,8.7,f,y
24.5,4.5,6.9,f,15.2,1.5,2.7,u,n
13.5,2.7,,e,24.4,3,8.3,f,y
20.4,3.4,8.1,f,23.9,3.5,5.6,u,n
20.1,3.9,9.2,g,21.4,3.9,4.6,g,n
20,4.2,8.2,f,20.1,4.1,6.2,f,y
18.8,3.1,6.7,f,20.7,2.7,5,u,n
20.6,4.2,9,f,18.1,2.8,5.5,f,y
19.1,4.4,7.8,g,15.9,3.1,2.8,g,n
21.7,3.4,8.9,f,18.6,2.3,5.2,f,y
18.9,4.9,7,f,22.1,2.2,7.2,b,n
23.4,4.6,7.4,f,21,2.6,4.5,u,n
21.2,4.2,7.5,f,12.6,1.9,3.3,b,y
22.4,3.4,8.9,g,23.8,3.2,8.5,f,y
21.1,4.1,7.3,g,17.9,3.8,,e,n
17.6,3.1,4.8,f,9.1,3,4.3,f,y
15.6,2.4,4.9,f,17.3,3.2,5.5,f,y
17.7,3.5,3.9,g,18.1,3.8,5.8,f,y
16.1,3.4,6.1,g,18.1,3.4,6.9,f,y
15.7,5,5,g,24.9,4.2,11.4,f,y
11.6,2.3,4.1,g,24.1,4.2,10,f,y
23.9,4.9,8.1,f,10.4,3.5,,e,n
20.3,3.7,6.8,b,21.2,3.2,7.9,f,y
24.4,5.7,8.9,f,26.4,5,11.5,f,y
21.2,3.8,7.8,f,21.9,3.7,7.3,f,y
24.3,3.8,8.2,f,22.4,5.1,7.4,f,y
22.4,4.5,,e,15.7,3.7,6,f,y
15,2.9,5.9,u,20.1,4.3,6.2,b,n
14.6,3.3,,e,16.9,2.4,5.2,f,y
