Gdiam03,Stdiam03,Wall03,Fate03,Gdiam04,Stdiam04,Wall04,Fate04,Fly04
17.9,3,6.2,g,20.3,3,7.8,f,y
14.3,3.4,6.7,f,18.4,3,7.5,f,y
16.6,2.5,5,u,19.8,3.6,4.4,u,n
12.2,3.4,,e,18.3,2.3,4.6,g,n
16.1,4.3,,e,19.6,3.4,7.4,u,n
20.4,2.6,7.2,f,21.4,3.6,9.9,o,n
20.9,2.75,7.4,f,19.8,2.2,8.9,f,y
23.8,3.8,7.4,f,20.7,4,8.1,f,y
18.7,3.3,4.85,b,16.5,2.6,5.5,o,n
19.6,3.1,6.5,f,23.2,3.5,7.1,f,y
17.2,3,4.8,g,24.9,4.2,9.1,f,y
17.4,3.2,5.7,b,18.2,2.2,6,f,y
15.5,2.6,4.8,b,15.6,2.5,4.2,g,n
19.6,2.45,,e,18.9,3.4,,e,n
21.2,3.9,9.4,g,23.6,4.1,7.1,f,y
17.2,2.6,5.6,f,23.8,4.8,8,f,y
22.2,4.8,7.3,f,11.5,3,,e,n
15.2,2.8,,e,20,2.8,7.3,f,y
12.4,2.1,,e,22.2,4.3,,e,n
9.1,2.7,3.3,g,24.5,4,9,f,y
19.2,3.5,7.9,g,17.8,2.4,7.1,f,y
22.2,4.1,6.4,f,20.3,4.1,6.2,f,y
20.4,2.9,6.4,f,21.1,4.2,6.8,f,y
16.95,3.73,5.43,g,19.1,3.2,7.4,b,n
22.12,3.75,7.49,f,13.4,3.2,2.3,b,n
19.19,2.85,6.3,f,21.5,4.9,7.3,f,y
23.5,4.12,9.42,f,20.5,2.9,6.4,f,y
18.82,3.8,7.2,o,20.8,2.9,7.2,f,y
21.29,3,8.7,g,19.2,4.1,6.5,f,y
20.23,5.19,,e,18.8,3.4,,e,n
20.5,3,6,f,21.9,3.3,6.8,f,y
24.39,5.25,,e,17.9,3,6,f,y
21.42,3.7,4.9,f,16,3.7,5.1,u,n
19,3.7,,e,22.1,3.8,10.6,f,y
29.3,4.7,6.8,f,21.6,2.8,,e,n
20.5,4.45,7.8,f,21.6,5.2,11,f,y
23.4,4.9,5.2,b,19.4,2,4.6,f,y
20.4,3.6,,e,21.7,3.4,7.2,f,y
18.2,4.9,4.9,f,22.8,4.3,7.5,f,y
22.5,5.2,7.2,f,18.9,2.3,,e,n
17.7,3.75,,e,14.1,1.5,4.5,f,y
22.7,5.1,6,f,20.9,3.9,,e,n
23.3,4.1,5.6,f,21.2,4.7,8,f,y
19.1,3,5.2,f,23.4,3.5,7.9,f,y
20.8,2.5,7.4,f,22.9,4.1,9.6,f,y
20.3,5.3,8.8,g,22,4.7,7.9,f,y
20.9,4.9,5.6,f,21.5,3.6,7.5,f,y
20.3,4.1,7.8,b,18.6,3.1,5.7,f,y
15.5,2.8,,e,17.9,2.5,6,f,y
21.1,4.6,,e,22,3,8.7,f,y
22.62,4.05,6.5,f,20,3.1,,e,n
16.95,3.52,5.65,g,21.4,4.8,8.8,f,y
25.05,3.6,7.91,f,20.8,3,10,f,y
21.19,4.05,,e,24.2,3.1,8.2,f,y
21.86,3.3,,e,23.8,3.1,11.6,f,y
21.2,3.15,,e,24.1,3.4,10.7,f,y
24.55,3.98,7.09,f,16.5,1.8,4.8,u,n
21.65,5.85,7.3,f,23.9,4.8,9.3,b,n
22.76,4.67,7.1,f,20.9,2.7,10,f,y
22,4.32,6.52,g,17.4,3.3,8.9,f,y
22.59,5.53,5.72,f,22.3,3.7,9.5,f,y
11.95,5,4.15,b,22.8,3.1,10.6,f,y
17.2,4.2,,e,22.1,3.9,10.3,f,y
21.95,3.73,5.6,f,16.2,2.4,6.8,f,y
21.3,2.89,7.09,f,21,3.8,11.4,b,n
17.3,3.9,3.5,u,19.3,3.4,9.2,u,n
18.1,3.7,3.9,g,17.6,3,5,f,y
20.09,2.6,7.4,f,21.9,3.5,11.6,f,y
16.9,4.3,5.8,u,20,2.9,8.6,u,y
23.1,5.8,8.4,b,19.4,4.3,8.5,f,y
13.8,5.2,7.2,u,17,5,6,u,n
16.2,3.3,,b,21.1,2.5,6.8,f,y
21.1,2.6,8.1,b,24.8,4.2,7.1,f,y
18.3,2.4,7.8,b,17.3,3.4,3.3,b,n
21.09,2.8,8.5,g,15.5,3.4,5.4,f,y
23.1,3,8.3,f,16.5,2.8,5.1,u,n
18.7,2.1,6.3,b,13,2.6,2.2,u,y
20.4,2.4,8.2,b,10.4,2.7,2,g,n
16.8,2.9,4.1,f,18.4,2.5,3,f,y
10.1,5,4.5,g,21.1,3.5,5.4,f,y
19.4,3.5,6.7,f,19.4,2.4,6.4,f,y
20.3,2.7,8.1,b,18,2.4,6.6,u,n
21.3,4.2,6.6,f,22.4,3.9,6.4,f,y
12.7,2.5,4.4,u,22,3,5.8,u,n
16.1,3.3,,e,20.3,3.5,6.9,b,n
14.1,2.6,,e,20.9,4.2,6.3,f,y
20.3,3.2,7,f,23.1,3.8,5.6,f,y
20.6,3.1,6.8,f,18.5,3.1,5.8,u,n
12.9,3.5,,e,20.6,3,6.1,f,y
11.9,2.9,,e,14.6,2.4,3.6,f,y
20.7,2.4,7.1,f,20,3.3,8.9,f,y
21.7,4.4,6.2,u,15.3,2.1,3.2,u,y
22.6,3.6,7.5,f,24.2,3,8.1,f,y
19.8,3.1,4.9,f,25.5,3.3,9,f,y
13.3,3.4,,e,19.7,3.1,7,f,y
14.3,3,4,b,22.8,3,9.8,f,y
19,5.1,6,f,23.9,3.9,,e,n
20.1,3.6,7.5,f,23.2,2.9,6.4,b,n
21.6,4.2,7.9,f,22.9,5.7,8,f,y
20,4.6,6.4,f,22.8,3,9,f,y
21.3,4.5,6.4,f,16,2.6,6,f,y
17.9,3.4,6.7,b,18.5,2,6.6,f,y
20.2,3.9,7,f,20.2,3.7,8.8,f,y
20.5,3.3,,e,22,4.7,8.5,g,n
22.2,3.4,6.8,f,20,3.2,7.2,f,y
22.5,4.2,8.1,f,18.2,2.1,5.9,f,y
19.8,3.2,9,f,19.5,3.1,6.4,f,y
12.8,2.4,6.6,b,22.2,3.6,7.5,f,y
21.9,4.4,,e,19.3,3.5,6.6,o,n
13.9,3.6,4.9,g,15.1,2.6,4.4,f,y
20.8,4,6.5,f,14.3,3.9,4.9,f,y
16.4,4.2,4.3,g,16.3,3.8,4.6,g,n
18.4,3.5,4.8,g,20,2.8,7.5,f,y
22.5,4.7,4.3,f,22.5,3.5,6.6,f,y
22.4,5,5,f,20.4,4.3,6.2,f,y
15.4,2.7,,e,18.2,3.2,6.5,f,y
13.9,3.9,,e,23.1,3.5,7,f,y
18.5,2.4,,e,21.8,3.3,6.9,u,n
16.2,2.9,6.4,g,19.3,2.6,5.5,f,y
21,3.3,4.8,f,20.5,2.4,6.6,f,y
16.4,3.2,5,f,13.3,2.3,3.1,f,y
19.4,4,,e,21.2,4.4,8.4,f,y
16.5,2.1,,e,22,4.2,9.5,f,y
18.5,3,,f,20.6,2.4,7.5,f,y
21.7,3,6.4,f,19.5,3.3,6.1,f,y
,,,,22.2,3.8,10.6,u,n
,,,,14.4,2.9,,e,n
,,,,23.5,3.6,9.5,f,y
,,,,26.5,4.2,8.2,f,y
,,,,24.2,4.9,8.4,f,y
,,,,21.3,3.2,7.5,f,y
,,,,22.4,2.7,9.3,f,y
,,,,20.4,5.2,2.6,f,y
,,,,17.4,3.6,6.9,u,n
,,,,18.8,2.9,9,u,n
,,,,20.8,3.7,6.8,f,y
,,,,21.2,3.3,7.7,u,n
,,,,18,3,6.7,f,y
,,,,17.8,3.8,6.6,f,y
,,,,24.2,4.3,11.3,u,n
,,,,21.2,5.4,9.5,f,y
,,,,16.8,2.2,5.9,f,y
,,,,22.2,3.7,7,f,y
,,,,22.4,3.7,5.6,u,n
,,,,22.9,4,6.4,f,y
,,,,24.4,3.2,7.8,f,y
,,,,23.3,5.1,8.1,f,y
,,,,21.4,4.8,6.6,f,y
,,,,25,4.1,8.7,f,y
,,,,23,4.1,8.6,f,y
,,,,23.4,3.2,5.5,f,y
,,,,22.3,4.5,6,f,y
,,,,22,3.1,7.6,f,y
,,,,22.6,3.8,8.2,f,y
,,,,23.9,4.3,7.9,f,y
,,,,21.5,4.2,7,f,y
,,,,16.2,4.1,6.1,u,n
,,,,23,3.9,8.5,f,y
,,,,20.6,4.5,7.7,f,y
,,,,18.9,3.7,7.2,b,n
,,,,19.4,4.7,7.3,f,y
,,,,24.1,4.5,8.3,f,y
,,,,23,3.8,9.4,f,y
,,,,19,3.8,7,f,y
,,,,25.3,3.8,10.3,f,y
,,,,21.1,3.1,7.6,f,y
,,,,17.3,4.1,6.8,f,y
,,,,27.1,3.3,6.3,u,n
,,,,22.3,2.9,7.1,u,n
,,,,18.7,4.5,1.4,u,n
,,,,24.6,4.1,6.2,f,y
,,,,17.8,3.9,4,u,n
,,,,21.7,3.7,4.4,u,n
,,,,17.9,4.3,4.5,f,y
,,,,20.2,4.4,4.2,u,n
,,,,23.5,3.3,8,f,y
,,,,21.1,3.9,2.6,f,y
,,,,16.3,3.6,,e,n
,,,,15.6,2.9,3,u,n
,,,,20.9,3,7.7,f,y
,,,,24.2,3.7,10.7,f,y
,,,,21.7,3.4,7.7,f,y
,,,,21.6,4,8.5,f,y
,,,,24.3,3.8,9.4,f,y
,,,,20.4,2.7,8.4,f,y
,,,,22.1,3.2,8.7,f,y
,,,,23.3,3.7,9.8,f,y
,,,,23.8,3.6,9.3,f,y
,,,,22.6,3,8.4,f,y
,,,,22.8,4.1,9,f,y
,,,,23.4,3.4,9.3,f,y
,,,,23.3,4.1,9.7,f,y
,,,,21.6,3.2,8.4,f,y
,,,,20.3,3.4,7,f,y
,,,,20.6,3.2,8.6,f,y
,,,,17.6,3,7.4,f,y
,,,,22,2.9,7.1,f,y
,,,,20,2.6,,e,n
,,,,22.6,3.1,6.4,f,y
,,,,17.9,5.1,5.7,b,n
,,,,20.5,2.9,5.7,u,n
,,,,18.6,4.2,4.6,f,y
,,,,21.6,4,,e,n
,,,,16,3.4,5,b,n
,,,,19.9,2.7,5.8,f,y
,,,,19.9,2.6,5.8,f,y
,,,,18.9,4,5.4,f,y
,,,,21.9,5.4,,e,n
,,,,21.6,3.7,6.1,f,y
,,,,18.2,2.4,4.9,f,y
,,,,20.4,2.5,8.1,f,y
,,,,17.9,3.2,5.4,f,y
,,,,26.3,4.3,7.9,u,n
,,,,23.2,3.3,5.9,f,y
,,,,20.2,3.5,6.7,f,y
,,,,23.2,3.6,,e,n
,,,,14.7,1.8,,e,n
,,,,14.6,3.4,,e,n
,,,,15,2.6,,e,n
,,,,21,4.8,6.9,f,y
,,,,21.1,4,6.8,f,y
,,,,17.1,3.8,6,f,y
,,,,20.3,3.2,4.6,f,y
,,,,23.8,4.1,6.2,f,y
,,,,20.8,3.1,5.9,f,y
,,,,21.9,3,6,b,n
,,,,10,2.1,1.8,u,n
,,,,21.7,4.2,,e,n
,,,,18.1,3.3,5,f,y
,,,,15.4,2.9,2,b,n
,,,,23.1,3.9,6.4,f,y
,,,,22.3,3.1,6.7,b,n
,,,,19.6,4.3,,e,n
,,,,20.8,2.6,6.1,f,y
,,,,18.9,3.1,3.7,f,y
,,,,17.4,3.1,5,b,n
,,,,23.6,3.1,8.2,f,y
,,,,19.9,2.6,5.2,f,y
,,,,16.2,3.5,1.9,f,y
,,,,19.9,2.3,7.2,f,y
,,,,23.3,3,7,f,y
,,,,25.1,4.3,7.3,u,n
,,,,21.2,2.7,7.1,f,y
,,,,19,2.8,7.3,f,y
,,,,22.3,4.5,0.4,f,y
,,,,19.1,3.4,4.4,g,n
,,,,13,4.4,5.1,o,n
,,,,20.5,2.7,6.6,f,y
,,,,20.4,2.8,,e,n
,,,,22.4,5.5,7,g,n
,,,,20.5,3.1,5,f,y
,,,,23.1,4.1,6.2,f,y
,,,,19.9,4.3,5.5,f,y
,,,,23,3.1,7.4,b,n
,,,,20.1,3.2,6.8,f,y
,,,,15.3,3.4,,e,n
,,,,23.5,3,6.3,u,n
,,,,17.5,2.3,4.7,f,y
,,,,22.9,3.3,3.5,f,y
,,,,18.3,3,5.8,u,n
,,,,20.3,4,5.9,f,y
,,,,19.7,2.8,5,b,n
,,,,15.1,3.5,4.8,g,n
,,,,19,2.8,5.8,f,y
,,,,19.9,3.6,9,b,n
,,,,21.5,2,5,f,y
,,,,18.7,2.9,5.3,g,n
,,,,15.5,2.7,,e,n
,,,,17.3,2.3,4.8,u,n
,,,,24,4.4,8.1,f,y
,,,,19.8,3.7,7.3,u,n
,,,,20.9,2.8,7.9,u,n
,,,,19.5,2.9,7.7,b,n
,,,,20,3.4,6,f,y
,,,,18.9,3.5,5.2,b,n
,,,,24.1,5.1,9.1,f,y
,,,,21.6,3.5,5.9,f,y
,,,,16,3.2,6,f,y
,,,,20,3.7,6.2,f,y
,,,,22.4,3.4,10.9,u,n
,,,,14.9,4.3,3.7,f,y
,,,,15.6,2.2,4.9,f,y
,,,,21.9,3.2,9.2,f,y
,,,,26.1,4.5,8.1,u,n
,,,,17.8,3.7,7,u,n
,,,,19.6,2.6,,e,n
,,,,23.1,4.8,,e,n
,,,,20.4,3.7,8.5,f,y
,,,,21.1,3.3,,e,n
,,,,18.2,3.2,6.9,f,y
,,,,15.5,3.4,4.1,u,n
,,,,21.5,2.9,,e,n
,,,,20.9,3.1,5.3,f,y
,,,,20,2.8,3.5,f,y
,,,,22.8,4.1,7.4,f,y
,,,,22.6,4.7,5.7,u,n
,,,,23.5,5.7,7.9,u,n
,,,,19,3.7,4.6,f,y
,,,,25,5,10.3,f,y
,,,,21.5,3.1,7.1,e,n
,,,,22.1,4.2,,f,y
,,,,17.2,2.8,6.3,g,n
,,,,15.9,4,3.9,b,n
,,,,22.6,5,6,b,n
,,,,25,5.5,8.5,f,y
,,,,20,1.6,4.2,f,y
,,,,19,2.2,5.4,f,y
,,,,23,3.5,6,f,y
,,,,20,3.8,7,f,y
,,,,21.3,4.5,6.5,f,y
,,,,16.5,4,4,f,y
,,,,21.6,2.5,7.1,b,n
,,,,23,4,7.5,f,y
,,,,16,4.5,3.5,f,y
,,,,21.7,3.1,8.7,f,y
,,,,20.9,3.1,5.7,o,n
,,,,22.3,3.5,6.5,f,y
,,,,20,2,6.5,f,y
,,,,21,2.7,7.2,f,y
,,,,20.5,5,5,f,y
,,,,19,2.5,5.1,f,y
,,,,18.5,3,,e,n
,,,,21.2,2.9,6.9,f,y
,,,,17.9,1.9,5.8,f,y
,,,,14.4,3.4,3.7,u,n
,,,,23.1,2.9,7.7,f,y
,,,,17.2,3.5,4.3,u,n
,,,,18,2.5,5.7,g,n
,,,,13.2,2.7,,e,n
,,,,19.3,2.7,6,f,y
,,,,19.3,2.3,4.9,f,y
,,,,20.1,2.8,5.8,u,n
,,,,17.2,2.5,4.2,u,n
,,,,14.9,2.1,5.7,u,n
,,,,19.1,3.7,5.8,g,n
,,,,12.7,3.2,,e,n
,,,,21.8,4.7,7.6,f,y
,,,,21.1,4.3,5.6,f,y
,,,,11.1,3,,e,n
,,,,18.2,3.5,5.6,g,n
,,,,17.5,2.1,5.6,f,y
,,,,20.5,3.9,8.1,u,n
,,,,24.1,4.4,9.1,f,y
,,,,20,2.6,5,f,y
,,,,,3.7,2.1,u,n
,,,,16,2.2,4,b,n
,,,,18.5,4,4.6,b,n
,,,,23.2,4,6.5,b,n
,,,,22.3,4.3,6.1,u,n
,,,,11.8,2.3,4.6,f,y
,,,,19.9,3.1,4.8,u,n
,,,,,3,3.2,b,n
,,,,18.3,3.5,5,u,n
,,,,17.3,1.6,4.5,u,n
,,,,17.8,2.5,8.1,f,y
,,,,8.9,2.8,0.7,f,y
,,,,18.6,4.6,6.9,f,y
,,,,17.9,3.9,7.8,b,n
,,,,23.5,3.4,9.1,f,y
,,,,25.6,3.2,8.5,f,y
,,,,18.3,3.3,4.9,f,y
,,,,22.5,3.9,6.6,f,y
,,,,16.3,2.5,4.3,f,y
,,,,22.5,3.8,7.3,f,y
,,,,20.3,3.8,7.2,b,n
,,,,23.2,3.9,7.1,f,y
,,,,21.7,3.6,6.4,u,n
,,,,26.6,4.4,9.2,b,n
,,,,22.1,4,7.7,u,n
,,,,24.4,3.8,8.9,f,y
,,,,24,5.6,7.8,b,n
,,,,17.1,3.5,4.5,f,y
,,,,14.5,3.7,3.7,u,n
,,,,21.5,4.7,6.5,f,y
,,,,20,4.7,4.3,g,n
,,,,20.9,3.5,7.5,f,y
,,,,21.2,4.6,6.2,f,y
,,,,18.8,3.4,4.9,o,n
,,,,17.4,3.4,4.7,u,n
,,,,20.6,2.7,3.9,u,n
,,,,16.5,3.3,3.4,e,n
,,,,17.2,2.1,7.5,g,n
,,,,22.2,4.4,7.9,g,n
,,,,14.6,3.2,5.4,b,n
,,,,14.9,3.3,,e,n
,,,,19.7,2.5,6.4,g,n
,,,,15.9,4.4,,e,n
,,,,21.5,3.2,7.7,f,y
,,,,19.5,3.3,7,f,y
,,,,19.3,3.2,5,f,y
,,,,21.6,,7.4,f,y
,,,,22.5,4,6.9,f,y
,,,,19.2,2.5,5.4,f,y
,,,,18.7,3,6,f,y
,,,,23.5,4.1,,e,y
,,,,15,3.3,3.9,g,n
,,,,17.5,2.8,9.4,g,n
,,,,17.4,3.4,9.9,f,y
,,,,16.2,3.5,4.4,g,n
,,,,12.5,4,,e,n
,,,,15.8,2.2,3.3,u,n
,,,,20,3.4,7,f,y
,,,,15.7,4,6.9,f,y
,,,,17.1,5,6.8,f,y
,,,,18.4,2.8,3.5,b,n
,,,,21.1,3.6,7.1,f,y
,,,,19.4,3.8,,e,n
,,,,16.8,3.2,9,f,y
,,,,22.1,3.3,7.5,f,y
,,,,19.5,4.2,7.6,f,y
,,,,11.3,2.5,4.9,u,n
,,,,18,3,,e,n
,,,,14.5,3.2,5.5,g,n
,,,,13.8,4.9,,e,n
,,,,11.9,3.6,,e,n
,,,,11.2,2.5,,e,n
,,,,23.1,4.9,7.2,f,y
,,,,25.2,4.9,7.5,f,y
